Timestamp,bp_discharge,bp_discharge+1,bp_discharge+2,bp_discharge+3,bp_discharge+4,bp_discharge+5,bp_discharge+6,bp_discharge+7,bp_discharge+8,bp_discharge+9,bp_discharge+10,bp_discharge+11,bp_discharge+12,bp_discharge+13,bp_discharge+14,bp_discharge+15,bp_discharge+16,bp_discharge+17,bp_discharge+18,bp_discharge+19,bp_discharge+20,bp_discharge+21,bp_discharge+22,bp_discharge+23,bp_discharge+24,bp_discharge+25,bp_discharge+26,bp_discharge+27,bp_discharge+28,bp_discharge+29,bp_discharge+30,bp_discharge+31,bp_discharge+32,bp_discharge+33,bp_discharge+34,bp_discharge+35,bp_discharge+36,bp_discharge+37,bp_discharge+38,bp_discharge+39
3/19/2018,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006
3/20/2018,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138
3/21/2018,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165
3/22/2018,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989
3/23/2018,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936
3/24/2018,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911
3/25/2018,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787
3/26/2018,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73
3/27/2018,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677
3/28/2018,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637
3/29/2018,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599
3/30/2018,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57
3/31/2018,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554
4/1/2018,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507
4/2/2018,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207
4/3/2018,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753
4/4/2018,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659
4/5/2018,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577
4/6/2018,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577,0.54
4/7/2018,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577,0.54,0.505
4/8/2018,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577,0.54,0.505,0.483
4/9/2018,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577,0.54,0.505,0.483,0.459
4/10/2018,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858,1.006,1.138,1.165,0.989,0.936,0.911,0.787,0.73,0.677,0.637,0.599,0.57,0.554,0.507,1.207,0.753,0.659,0.577,0.54,0.505,0.483,0.459,0.439
